Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
MALUKU,Kab. Kepulauan Aru,2018,,Rupiah,Modal Kerja,301114.723591
MALUKU,Kab. Kepulauan Aru,2018,,Rupiah,Investasi,90742.281898
MALUKU,Kab. Kepulauan Aru,2018,,Rupiah,Konsumsi,308062.17774
MALUKU,Kab. Kepulauan Aru,2019,,Rupiah,Modal Kerja,327051.612887
MALUKU,Kab. Kepulauan Aru,2019,,Rupiah,Investasi,101808.02375
MALUKU,Kab. Kepulauan Aru,2019,,Rupiah,Konsumsi,366619.500602
MALUKU,Kab. Kepulauan Aru,2020,,Rupiah,Modal Kerja,336806.286937
MALUKU,Kab. Kepulauan Aru,2020,,Rupiah,Investasi,101503.611524
MALUKU,Kab. Kepulauan Aru,2020,,Rupiah,Konsumsi,383428.150854
MALUKU,Kab. Kepulauan Aru,2021,,Rupiah,Modal Kerja,348069.458772
MALUKU,Kab. Kepulauan Aru,2021,,Rupiah,Investasi,103103.662074
MALUKU,Kab. Kepulauan Aru,2021,,Rupiah,Konsumsi,425640.621922
MALUKU,Kab. Kepulauan Aru,2022,,Rupiah,Modal Kerja,414743.295388
MALUKU,Kab. Kepulauan Aru,2022,,Rupiah,Investasi,123865.161457
MALUKU,Kab. Kepulauan Aru,2022,,Rupiah,Konsumsi,471441.024731
MALUKU,Kab. Kepulauan Aru,2023,Mar,Rupiah,Modal Kerja,417744.040711
MALUKU,Kab. Kepulauan Aru,2023,Mar,Rupiah,Investasi,139506.411782
MALUKU,Kab. Kepulauan Aru,2023,Mar,Rupiah,Konsumsi,475532.858822
MALUKU,Kab. Kepulauan Aru,2023,Apr,Rupiah,Modal Kerja,430037.480002
MALUKU,Kab. Kepulauan Aru,2023,Apr,Rupiah,Investasi,141620.657186
MALUKU,Kab. Kepulauan Aru,2023,Apr,Rupiah,Konsumsi,475447.519189
MALUKU,Kab. Kepulauan Aru,2023,May,Rupiah,Modal Kerja,431696.75031
MALUKU,Kab. Kepulauan Aru,2023,May,Rupiah,Investasi,146451.804243
MALUKU,Kab. Kepulauan Aru,2023,May,Rupiah,Konsumsi,478632.756905
MALUKU,Kab. Kepulauan Aru,2023,Jun,Rupiah,Modal Kerja,255293.211917
MALUKU,Kab. Kepulauan Aru,2023,Jun,Rupiah,Investasi,79844.487688
MALUKU,Kab. Kepulauan Aru,2023,Jun,Rupiah,Konsumsi,481896.182229
MALUKU,Kab. Kepulauan Aru,2023,Jul,Rupiah,Modal Kerja,270726.518072
MALUKU,Kab. Kepulauan Aru,2023,Jul,Rupiah,Investasi,79235.644271
MALUKU,Kab. Kepulauan Aru,2023,Jul,Rupiah,Konsumsi,483513.692184
MALUKU,Kab. Kepulauan Aru,2023,Aug,Rupiah,Modal Kerja,273698.399836
MALUKU,Kab. Kepulauan Aru,2023,Aug,Rupiah,Investasi,79726.463683
MALUKU,Kab. Kepulauan Aru,2023,Aug,Rupiah,Konsumsi,486616.512079
MALUKU,Kab. Kepulauan Aru,2023,Sep,Rupiah,Modal Kerja,276107.705222
MALUKU,Kab. Kepulauan Aru,2023,Sep,Rupiah,Investasi,79681.372551
MALUKU,Kab. Kepulauan Aru,2023,Sep,Rupiah,Konsumsi,486421.953497
MALUKU,Kab. Kepulauan Aru,2023,Oct,Rupiah,Modal Kerja,283109.366642
MALUKU,Kab. Kepulauan Aru,2023,Oct,Rupiah,Investasi,80983.669395
MALUKU,Kab. Kepulauan Aru,2023,Oct,Rupiah,Konsumsi,490499.783119
MALUKU,Kab. Kepulauan Aru,2023,Nov,Rupiah,Modal Kerja,273342.490735
MALUKU,Kab. Kepulauan Aru,2023,Nov,Rupiah,Investasi,42592.996193
MALUKU,Kab. Kepulauan Aru,2023,Nov,Rupiah,Konsumsi,493010.502623
MALUKU,Kab. Kepulauan Aru,2023,Dec,Rupiah,Modal Kerja,265656.304549
MALUKU,Kab. Kepulauan Aru,2023,Dec,Rupiah,Investasi,43726.860303
MALUKU,Kab. Kepulauan Aru,2023,Dec,Rupiah,Konsumsi,492235.226761
MALUKU,Kab. Kepulauan Aru,2024,Jan,Rupiah,Modal Kerja,264612.017924
MALUKU,Kab. Kepulauan Aru,2024,Jan,Rupiah,Investasi,44324.749878
MALUKU,Kab. Kepulauan Aru,2024,Jan,Rupiah,Konsumsi,496360.583209
MALUKU,Kab. Kepulauan Aru,2024,Feb,Rupiah,Modal Kerja,259273.511144
MALUKU,Kab. Kepulauan Aru,2024,Feb,Rupiah,Investasi,44375.791986
MALUKU,Kab. Kepulauan Aru,2024,Feb,Rupiah,Konsumsi,497522.520157
MALUKU,Kab. Kepulauan Aru,2024,Mar,Rupiah,Modal Kerja,255326.327138
MALUKU,Kab. Kepulauan Aru,2024,Mar,Rupiah,Investasi,43802.842468
MALUKU,Kab. Kepulauan Aru,2024,Mar,Rupiah,Konsumsi,502082.63625
MALUKU,Kab. Maluku Barat Daya,2018,,Rupiah,Modal Kerja,30633.144084
MALUKU,Kab. Maluku Barat Daya,2018,,Rupiah,Investasi,1774.107814
MALUKU,Kab. Maluku Barat Daya,2018,,Rupiah,Konsumsi,163370.938945
MALUKU,Kab. Maluku Barat Daya,2019,,Rupiah,Modal Kerja,14901.46892
MALUKU,Kab. Maluku Barat Daya,2019,,Rupiah,Investasi,1221.834944
MALUKU,Kab. Maluku Barat Daya,2019,,Rupiah,Konsumsi,149171.704201
MALUKU,Kab. Maluku Barat Daya,2020,,Rupiah,Modal Kerja,16758.35123
MALUKU,Kab. Maluku Barat Daya,2020,,Rupiah,Investasi,122.985855
MALUKU,Kab. Maluku Barat Daya,2020,,Rupiah,Konsumsi,220149.972372
MALUKU,Kab. Maluku Barat Daya,2021,,Rupiah,Modal Kerja,9171.243704
MALUKU,Kab. Maluku Barat Daya,2021,,Rupiah,Investasi,53.353545
MALUKU,Kab. Maluku Barat Daya,2021,,Rupiah,Konsumsi,226423.073499
MALUKU,Kab. Maluku Barat Daya,2022,,Rupiah,Modal Kerja,9256.010913
MALUKU,Kab. Maluku Barat Daya,2022,,Rupiah,Investasi,1754.166128
MALUKU,Kab. Maluku Barat Daya,2022,,Rupiah,Konsumsi,221649.492533
MALUKU,Kab. Maluku Barat Daya,2023,Mar,Rupiah,Modal Kerja,8967.064433
MALUKU,Kab. Maluku Barat Daya,2023,Mar,Rupiah,Investasi,1905.422281
MALUKU,Kab. Maluku Barat Daya,2023,Mar,Rupiah,Konsumsi,222602.622546
MALUKU,Kab. Maluku Barat Daya,2023,Apr,Rupiah,Modal Kerja,9043.880188
MALUKU,Kab. Maluku Barat Daya,2023,Apr,Rupiah,Investasi,1993.786353
MALUKU,Kab. Maluku Barat Daya,2023,Apr,Rupiah,Konsumsi,223317.55946
MALUKU,Kab. Maluku Barat Daya,2023,May,Rupiah,Modal Kerja,8998.818509
MALUKU,Kab. Maluku Barat Daya,2023,May,Rupiah,Investasi,1673.531831
MALUKU,Kab. Maluku Barat Daya,2023,May,Rupiah,Konsumsi,222967.280911
MALUKU,Kab. Maluku Barat Daya,2023,Jun,Rupiah,Modal Kerja,9973.191981
MALUKU,Kab. Maluku Barat Daya,2023,Jun,Rupiah,Investasi,1634.841518
MALUKU,Kab. Maluku Barat Daya,2023,Jun,Rupiah,Konsumsi,223620.172399
MALUKU,Kab. Maluku Barat Daya,2023,Jul,Rupiah,Modal Kerja,10297.353014
MALUKU,Kab. Maluku Barat Daya,2023,Jul,Rupiah,Investasi,1670.302992
MALUKU,Kab. Maluku Barat Daya,2023,Jul,Rupiah,Konsumsi,224884.855419
MALUKU,Kab. Maluku Barat Daya,2023,Aug,Rupiah,Modal Kerja,9766.074442
MALUKU,Kab. Maluku Barat Daya,2023,Aug,Rupiah,Investasi,2141.473755
MALUKU,Kab. Maluku Barat Daya,2023,Aug,Rupiah,Konsumsi,225024.847988
MALUKU,Kab. Maluku Barat Daya,2023,Sep,Rupiah,Modal Kerja,9817.388491
MALUKU,Kab. Maluku Barat Daya,2023,Sep,Rupiah,Investasi,2367.954284
MALUKU,Kab. Maluku Barat Daya,2023,Sep,Rupiah,Konsumsi,226837.451387
MALUKU,Kab. Maluku Barat Daya,2023,Oct,Rupiah,Modal Kerja,9842.549516
MALUKU,Kab. Maluku Barat Daya,2023,Oct,Rupiah,Investasi,2517.344563
MALUKU,Kab. Maluku Barat Daya,2023,Oct,Rupiah,Konsumsi,226344.615455
MALUKU,Kab. Maluku Barat Daya,2023,Nov,Rupiah,Modal Kerja,9363.484794
MALUKU,Kab. Maluku Barat Daya,2023,Nov,Rupiah,Investasi,2425.956982
MALUKU,Kab. Maluku Barat Daya,2023,Nov,Rupiah,Konsumsi,228879.100055
MALUKU,Kab. Maluku Barat Daya,2023,Dec,Rupiah,Modal Kerja,8882.951636
MALUKU,Kab. Maluku Barat Daya,2023,Dec,Rupiah,Investasi,2977.427144
MALUKU,Kab. Maluku Barat Daya,2023,Dec,Rupiah,Konsumsi,229977.718134
MALUKU,Kab. Maluku Barat Daya,2024,Jan,Rupiah,Modal Kerja,8784.035618
MALUKU,Kab. Maluku Barat Daya,2024,Jan,Rupiah,Investasi,3233.815258
MALUKU,Kab. Maluku Barat Daya,2024,Jan,Rupiah,Konsumsi,229184.181299
MALUKU,Kab. Maluku Barat Daya,2024,Feb,Rupiah,Modal Kerja,8793.793795
MALUKU,Kab. Maluku Barat Daya,2024,Feb,Rupiah,Investasi,3258.571095
MALUKU,Kab. Maluku Barat Daya,2024,Feb,Rupiah,Konsumsi,229139.832945
MALUKU,Kab. Maluku Barat Daya,2024,Mar,Rupiah,Modal Kerja,8711.106766
MALUKU,Kab. Maluku Barat Daya,2024,Mar,Rupiah,Investasi,3174.462722
MALUKU,Kab. Maluku Barat Daya,2024,Mar,Rupiah,Konsumsi,230870.465105
MALUKU,Kab. Maluku Tengah,2018,,Rupiah,Modal Kerja,456781.924735
MALUKU,Kab. Maluku Tengah,2018,,Rupiah,Investasi,318257.401067
MALUKU,Kab. Maluku Tengah,2018,,Rupiah,Konsumsi,1476188.403199
MALUKU,Kab. Maluku Tengah,2019,,Rupiah,Modal Kerja,479252.336217
MALUKU,Kab. Maluku Tengah,2019,,Rupiah,Investasi,427926.943885
MALUKU,Kab. Maluku Tengah,2019,,Rupiah,Konsumsi,1630826.102033
MALUKU,Kab. Maluku Tengah,2020,,Rupiah,Modal Kerja,590397.915126
MALUKU,Kab. Maluku Tengah,2020,,Rupiah,Investasi,326968.823118
MALUKU,Kab. Maluku Tengah,2020,,Rupiah,Konsumsi,1482040.933191
MALUKU,Kab. Maluku Tengah,2021,,Rupiah,Modal Kerja,736705.965614
MALUKU,Kab. Maluku Tengah,2021,,Rupiah,Investasi,287229.861682
MALUKU,Kab. Maluku Tengah,2021,,Rupiah,Konsumsi,1555296.278648
MALUKU,Kab. Maluku Tengah,2022,,Rupiah,Modal Kerja,789858.718948
MALUKU,Kab. Maluku Tengah,2022,,Rupiah,Investasi,138514.550429
MALUKU,Kab. Maluku Tengah,2022,,Rupiah,Konsumsi,1458637.851436
MALUKU,Kab. Maluku Tengah,2023,Mar,Rupiah,Modal Kerja,816336.805791
MALUKU,Kab. Maluku Tengah,2023,Mar,Rupiah,Investasi,136563.612703
MALUKU,Kab. Maluku Tengah,2023,Mar,Rupiah,Konsumsi,1483418.269629
MALUKU,Kab. Maluku Tengah,2023,Apr,Rupiah,Modal Kerja,818458.290913
MALUKU,Kab. Maluku Tengah,2023,Apr,Rupiah,Investasi,137659.87565
MALUKU,Kab. Maluku Tengah,2023,Apr,Rupiah,Konsumsi,1558861.613058
MALUKU,Kab. Maluku Tengah,2023,May,Rupiah,Modal Kerja,841230.009398
MALUKU,Kab. Maluku Tengah,2023,May,Rupiah,Investasi,139486.121796
MALUKU,Kab. Maluku Tengah,2023,May,Rupiah,Konsumsi,1563898.92043
MALUKU,Kab. Maluku Tengah,2023,Jun,Rupiah,Modal Kerja,851435.331318
MALUKU,Kab. Maluku Tengah,2023,Jun,Rupiah,Investasi,138944.886159
MALUKU,Kab. Maluku Tengah,2023,Jun,Rupiah,Konsumsi,1574932.720732
MALUKU,Kab. Maluku Tengah,2023,Jul,Rupiah,Modal Kerja,862876.233327
MALUKU,Kab. Maluku Tengah,2023,Jul,Rupiah,Investasi,139162.566252
MALUKU,Kab. Maluku Tengah,2023,Jul,Rupiah,Konsumsi,1578293.884554
MALUKU,Kab. Maluku Tengah,2023,Aug,Rupiah,Modal Kerja,894900.902706
MALUKU,Kab. Maluku Tengah,2023,Aug,Rupiah,Investasi,141572.957408
MALUKU,Kab. Maluku Tengah,2023,Aug,Rupiah,Konsumsi,1590263.403789
