Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
KEPULAUAN RIAU,Kab. Lingga,2018,,Rupiah,Modal Kerja,81128.74104
KEPULAUAN RIAU,Kab. Lingga,2018,,Rupiah,Investasi,12034.481782
KEPULAUAN RIAU,Kab. Lingga,2018,,Rupiah,Konsumsi,297698.697624
KEPULAUAN RIAU,Kab. Lingga,2019,,Rupiah,Modal Kerja,75431.934665
KEPULAUAN RIAU,Kab. Lingga,2019,,Rupiah,Investasi,47090.961395
KEPULAUAN RIAU,Kab. Lingga,2019,,Rupiah,Konsumsi,317129.202817
KEPULAUAN RIAU,Kab. Lingga,2020,,Rupiah,Modal Kerja,103817.968577
KEPULAUAN RIAU,Kab. Lingga,2020,,Rupiah,Investasi,41142.642797
KEPULAUAN RIAU,Kab. Lingga,2020,,Rupiah,Konsumsi,358203.042609
KEPULAUAN RIAU,Kab. Lingga,2021,,Rupiah,Modal Kerja,94181.944331
KEPULAUAN RIAU,Kab. Lingga,2021,,Rupiah,Investasi,31858.195681
KEPULAUAN RIAU,Kab. Lingga,2021,,Rupiah,Konsumsi,378147.55904
KEPULAUAN RIAU,Kab. Lingga,2022,,Rupiah,Modal Kerja,138904.735137
KEPULAUAN RIAU,Kab. Lingga,2022,,Rupiah,Investasi,52946.279631
KEPULAUAN RIAU,Kab. Lingga,2022,,Rupiah,Konsumsi,426931.496302
KEPULAUAN RIAU,Kab. Lingga,2023,Mar,Rupiah,Modal Kerja,126974.597157
KEPULAUAN RIAU,Kab. Lingga,2023,Mar,Rupiah,Investasi,60201.663278
KEPULAUAN RIAU,Kab. Lingga,2023,Mar,Rupiah,Konsumsi,429473.796727
KEPULAUAN RIAU,Kab. Lingga,2023,Apr,Rupiah,Modal Kerja,127062.861497
KEPULAUAN RIAU,Kab. Lingga,2023,Apr,Rupiah,Investasi,60841.126636
KEPULAUAN RIAU,Kab. Lingga,2023,Apr,Rupiah,Konsumsi,429293.272998
KEPULAUAN RIAU,Kab. Lingga,2023,May,Rupiah,Modal Kerja,126950.224479
KEPULAUAN RIAU,Kab. Lingga,2023,May,Rupiah,Investasi,61562.322164
KEPULAUAN RIAU,Kab. Lingga,2023,May,Rupiah,Konsumsi,430434.61098
KEPULAUAN RIAU,Kab. Lingga,2023,Jun,Rupiah,Modal Kerja,128636.637232
KEPULAUAN RIAU,Kab. Lingga,2023,Jun,Rupiah,Investasi,64014.029111
KEPULAUAN RIAU,Kab. Lingga,2023,Jun,Rupiah,Konsumsi,433336.687754
KEPULAUAN RIAU,Kab. Lingga,2023,Jul,Rupiah,Modal Kerja,130449.808888
