Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
SUMATERA BARAT,Kab. Agam,2018,,Rupiah,Modal Kerja,1148739.005195
SUMATERA BARAT,Kab. Agam,2018,,Rupiah,Investasi,2137645.996784
SUMATERA BARAT,Kab. Agam,2018,,Rupiah,Konsumsi,990640.817669
SUMATERA BARAT,Kab. Agam,2019,,Rupiah,Modal Kerja,1177271.264415
SUMATERA BARAT,Kab. Agam,2019,,Rupiah,Investasi,1938159.910463
SUMATERA BARAT,Kab. Agam,2019,,Rupiah,Konsumsi,1020742.459891
SUMATERA BARAT,Kab. Agam,2020,,Rupiah,Modal Kerja,1003222.897007
SUMATERA BARAT,Kab. Agam,2020,,Rupiah,Investasi,457916.752982
SUMATERA BARAT,Kab. Agam,2020,,Rupiah,Konsumsi,998192.258802
SUMATERA BARAT,Kab. Agam,2021,,Rupiah,Modal Kerja,1191715.164445
SUMATERA BARAT,Kab. Agam,2021,,Rupiah,Investasi,804457.828762
SUMATERA BARAT,Kab. Agam,2021,,Rupiah,Konsumsi,1069725.283711
SUMATERA BARAT,Kab. Agam,2022,,Rupiah,Modal Kerja,1339928.085918
SUMATERA BARAT,Kab. Agam,2022,,Rupiah,Investasi,866712.656656
SUMATERA BARAT,Kab. Agam,2022,,Rupiah,Konsumsi,1141372.74635
SUMATERA BARAT,Kab. Agam,2023,Mar,Rupiah,Modal Kerja,1335856.148916
SUMATERA BARAT,Kab. Agam,2023,Mar,Rupiah,Investasi,891392.137622
SUMATERA BARAT,Kab. Agam,2023,Mar,Rupiah,Konsumsi,1162276.744866
SUMATERA BARAT,Kab. Agam,2023,Apr,Rupiah,Modal Kerja,1411904.749685
SUMATERA BARAT,Kab. Agam,2023,Apr,Rupiah,Investasi,827387.452809
SUMATERA BARAT,Kab. Agam,2023,Apr,Rupiah,Konsumsi,1162107.644375
SUMATERA BARAT,Kab. Agam,2023,May,Rupiah,Modal Kerja,1322026.076982
SUMATERA BARAT,Kab. Agam,2023,May,Rupiah,Investasi,610049.925139
SUMATERA BARAT,Kab. Agam,2023,May,Rupiah,Konsumsi,1159888.659713
SUMATERA BARAT,Kab. Agam,2023,Jun,Rupiah,Modal Kerja,1329059.474867
SUMATERA BARAT,Kab. Agam,2023,Jun,Rupiah,Investasi,615002.088349
SUMATERA BARAT,Kab. Agam,2023,Jun,Rupiah,Konsumsi,1167827.531182
SUMATERA BARAT,Kab. Agam,2023,Jul,Rupiah,Modal Kerja,1340623.585559
SUMATERA BARAT,Kab. Agam,2023,Jul,Rupiah,Investasi,623543.251274
SUMATERA BARAT,Kab. Agam,2023,Jul,Rupiah,Konsumsi,1175777.27764
SUMATERA BARAT,Kab. Agam,2023,Aug,Rupiah,Modal Kerja,1348238.404337
SUMATERA BARAT,Kab. Agam,2023,Aug,Rupiah,Investasi,637692.519296
SUMATERA BARAT,Kab. Agam,2023,Aug,Rupiah,Konsumsi,1189899.345667
SUMATERA BARAT,Kab. Agam,2023,Sep,Rupiah,Modal Kerja,1302287.460646
SUMATERA BARAT,Kab. Agam,2023,Sep,Rupiah,Investasi,632761.224541
SUMATERA BARAT,Kab. Agam,2023,Sep,Rupiah,Konsumsi,1165062.934324
SUMATERA BARAT,Kab. Agam,2023,Oct,Rupiah,Modal Kerja,1295254.929336
SUMATERA BARAT,Kab. Agam,2023,Oct,Rupiah,Investasi,635999.749242
SUMATERA BARAT,Kab. Agam,2023,Oct,Rupiah,Konsumsi,1171267.685486
SUMATERA BARAT,Kab. Agam,2023,Nov,Rupiah,Modal Kerja,1296770.060043
SUMATERA BARAT,Kab. Agam,2023,Nov,Rupiah,Investasi,648384.191323
SUMATERA BARAT,Kab. Agam,2023,Nov,Rupiah,Konsumsi,1180490.812571
SUMATERA BARAT,Kab. Agam,2023,Dec,Rupiah,Modal Kerja,1304870.893833
SUMATERA BARAT,Kab. Agam,2023,Dec,Rupiah,Investasi,633548.034007
SUMATERA BARAT,Kab. Agam,2023,Dec,Rupiah,Konsumsi,1185404.468072
SUMATERA BARAT,Kab. Agam,2024,Jan,Rupiah,Modal Kerja,1279846.23166
SUMATERA BARAT,Kab. Agam,2024,Jan,Rupiah,Investasi,635854.699377
SUMATERA BARAT,Kab. Agam,2024,Jan,Rupiah,Konsumsi,1187693.435315
SUMATERA BARAT,Kab. Agam,2024,Feb,Rupiah,Modal Kerja,1402082.058112
SUMATERA BARAT,Kab. Agam,2024,Feb,Rupiah,Investasi,640125.760589
SUMATERA BARAT,Kab. Agam,2024,Feb,Rupiah,Konsumsi,1194338.202695
SUMATERA BARAT,Kab. Agam,2024,Mar,Rupiah,Modal Kerja,1443541.154698
SUMATERA BARAT,Kab. Agam,2024,Mar,Rupiah,Investasi,865911.78266
SUMATERA BARAT,Kab. Agam,2024,Mar,Rupiah,Konsumsi,1207188.615853
SUMATERA BARAT,Kab. Pasaman,2018,,Rupiah,Modal Kerja,992880.365524
SUMATERA BARAT,Kab. Pasaman,2018,,Rupiah,Investasi,232009.763629
SUMATERA BARAT,Kab. Pasaman,2018,,Rupiah,Konsumsi,1067724.400464
SUMATERA BARAT,Kab. Pasaman,2019,,Rupiah,Modal Kerja,943423.564312
SUMATERA BARAT,Kab. Pasaman,2019,,Rupiah,Investasi,244258.502539
SUMATERA BARAT,Kab. Pasaman,2019,,Rupiah,Konsumsi,1104390.538537
SUMATERA BARAT,Kab. Pasaman,2020,,Rupiah,Modal Kerja,998159.956806
SUMATERA BARAT,Kab. Pasaman,2020,,Rupiah,Investasi,99613.711081
SUMATERA BARAT,Kab. Pasaman,2020,,Rupiah,Konsumsi,1086067.590952
SUMATERA BARAT,Kab. Pasaman,2021,,Rupiah,Modal Kerja,1091289.195194
SUMATERA BARAT,Kab. Pasaman,2021,,Rupiah,Investasi,132967.447413
SUMATERA BARAT,Kab. Pasaman,2021,,Rupiah,Konsumsi,1161691.057863
SUMATERA BARAT,Kab. Pasaman,2022,,Rupiah,Modal Kerja,1195911.217125
SUMATERA BARAT,Kab. Pasaman,2022,,Rupiah,Investasi,438260.225459
SUMATERA BARAT,Kab. Pasaman,2022,,Rupiah,Konsumsi,1187372.232582
SUMATERA BARAT,Kab. Pasaman,2023,Mar,Rupiah,Modal Kerja,1200092.587491
SUMATERA BARAT,Kab. Pasaman,2023,Mar,Rupiah,Investasi,459960.560618
SUMATERA BARAT,Kab. Pasaman,2023,Mar,Rupiah,Konsumsi,1200534.485083
SUMATERA BARAT,Kab. Pasaman,2023,Apr,Rupiah,Modal Kerja,1202732.620061
SUMATERA BARAT,Kab. Pasaman,2023,Apr,Rupiah,Investasi,468967.014998
SUMATERA BARAT,Kab. Pasaman,2023,Apr,Rupiah,Konsumsi,1199039.47519
SUMATERA BARAT,Kab. Pasaman,2023,May,Rupiah,Modal Kerja,1200255.077092
SUMATERA BARAT,Kab. Pasaman,2023,May,Rupiah,Investasi,497824.045231
SUMATERA BARAT,Kab. Pasaman,2023,May,Rupiah,Konsumsi,1214426.746735
SUMATERA BARAT,Kab. Pasaman,2023,Jun,Rupiah,Modal Kerja,1209687.424996
SUMATERA BARAT,Kab. Pasaman,2023,Jun,Rupiah,Investasi,500641.353799
SUMATERA BARAT,Kab. Pasaman,2023,Jun,Rupiah,Konsumsi,1214003.343258
SUMATERA BARAT,Kab. Pasaman,2023,Jul,Rupiah,Modal Kerja,1216409.458414
SUMATERA BARAT,Kab. Pasaman,2023,Jul,Rupiah,Investasi,586793.388006
SUMATERA BARAT,Kab. Pasaman,2023,Jul,Rupiah,Konsumsi,1215312.927348
SUMATERA BARAT,Kab. Pasaman,2023,Aug,Rupiah,Modal Kerja,1222582.809921
SUMATERA BARAT,Kab. Pasaman,2023,Aug,Rupiah,Investasi,597283.452208
SUMATERA BARAT,Kab. Pasaman,2023,Aug,Rupiah,Konsumsi,1219238.7251
SUMATERA BARAT,Kab. Pasaman,2023,Sep,Rupiah,Modal Kerja,1234190.497911
SUMATERA BARAT,Kab. Pasaman,2023,Sep,Rupiah,Investasi,756415.912952
SUMATERA BARAT,Kab. Pasaman,2023,Sep,Rupiah,Konsumsi,1226982.150371
SUMATERA BARAT,Kab. Pasaman,2023,Oct,Rupiah,Modal Kerja,1222947.244469
SUMATERA BARAT,Kab. Pasaman,2023,Oct,Rupiah,Investasi,764469.361448
SUMATERA BARAT,Kab. Pasaman,2023,Oct,Rupiah,Konsumsi,1236731.978656
SUMATERA BARAT,Kab. Pasaman,2023,Nov,Rupiah,Modal Kerja,1233716.512392
SUMATERA BARAT,Kab. Pasaman,2023,Nov,Rupiah,Investasi,779249.350748
SUMATERA BARAT,Kab. Pasaman,2023,Nov,Rupiah,Konsumsi,1244170.955987
SUMATERA BARAT,Kab. Pasaman,2023,Dec,Rupiah,Modal Kerja,1259226.68954
SUMATERA BARAT,Kab. Pasaman,2023,Dec,Rupiah,Investasi,790226.062282
SUMATERA BARAT,Kab. Pasaman,2023,Dec,Rupiah,Konsumsi,1248733.141938
SUMATERA BARAT,Kab. Pasaman,2024,Jan,Rupiah,Modal Kerja,1232176.660707
SUMATERA BARAT,Kab. Pasaman,2024,Jan,Rupiah,Investasi,788933.93243
SUMATERA BARAT,Kab. Pasaman,2024,Jan,Rupiah,Konsumsi,1255584.925149
SUMATERA BARAT,Kab. Pasaman,2024,Feb,Rupiah,Modal Kerja,1230646.362233
SUMATERA BARAT,Kab. Pasaman,2024,Feb,Rupiah,Investasi,832295.843426
SUMATERA BARAT,Kab. Pasaman,2024,Feb,Rupiah,Konsumsi,1266367.430028
SUMATERA BARAT,Kab. Pasaman,2024,Mar,Rupiah,Modal Kerja,1228141.333971
SUMATERA BARAT,Kab. Pasaman,2024,Mar,Rupiah,Investasi,1036485.571999
SUMATERA BARAT,Kab. Pasaman,2024,Mar,Rupiah,Konsumsi,1276178.93913
SUMATERA BARAT,Kab. Limapuluh Koto,2018,,Rupiah,Modal Kerja,855549.676631
SUMATERA BARAT,Kab. Limapuluh Koto,2018,,Rupiah,Investasi,119101.363565
SUMATERA BARAT,Kab. Limapuluh Koto,2018,,Rupiah,Konsumsi,964170.892786
SUMATERA BARAT,Kab. Limapuluh Koto,2019,,Rupiah,Modal Kerja,888763.368043
SUMATERA BARAT,Kab. Limapuluh Koto,2019,,Rupiah,Investasi,155881.607145
SUMATERA BARAT,Kab. Limapuluh Koto,2019,,Rupiah,Konsumsi,1092157.308235
SUMATERA BARAT,Kab. Limapuluh Koto,2020,,Rupiah,Modal Kerja,976623.971011
SUMATERA BARAT,Kab. Limapuluh Koto,2020,,Rupiah,Investasi,164706.181783
SUMATERA BARAT,Kab. Limapuluh Koto,2020,,Rupiah,Konsumsi,1089932.946286
SUMATERA BARAT,Kab. Limapuluh Koto,2021,,Rupiah,Modal Kerja,1117058.14433
SUMATERA BARAT,Kab. Limapuluh Koto,2021,,Rupiah,Investasi,189590.227616
SUMATERA BARAT,Kab. Limapuluh Koto,2021,,Rupiah,Konsumsi,1121750.511791
