Propinsi,Dati_II,Tahun,Bulan,Kurs,Tipe,Nominal
BENGKULU,Kab. Bengkulu Selatan,2018,,Rupiah,Modal Kerja,779689.785782
BENGKULU,Kab. Bengkulu Selatan,2018,,Rupiah,Investasi,395620.631412
BENGKULU,Kab. Bengkulu Selatan,2018,,Rupiah,Konsumsi,1231202.311039
BENGKULU,Kab. Bengkulu Selatan,2019,,Rupiah,Modal Kerja,649950.555232
BENGKULU,Kab. Bengkulu Selatan,2019,,Rupiah,Investasi,517244.882485
BENGKULU,Kab. Bengkulu Selatan,2019,,Rupiah,Konsumsi,1222797.765535
BENGKULU,Kab. Bengkulu Selatan,2020,,Rupiah,Modal Kerja,733727.294791
BENGKULU,Kab. Bengkulu Selatan,2020,,Rupiah,Investasi,493503.947537
BENGKULU,Kab. Bengkulu Selatan,2020,,Rupiah,Konsumsi,1229610.182899
BENGKULU,Kab. Bengkulu Selatan,2021,,Rupiah,Modal Kerja,827002.376155
BENGKULU,Kab. Bengkulu Selatan,2021,,Rupiah,Investasi,490188.036317
BENGKULU,Kab. Bengkulu Selatan,2021,,Rupiah,Konsumsi,1317977.35879
BENGKULU,Kab. Bengkulu Selatan,2022,,Rupiah,Modal Kerja,893470.72881
BENGKULU,Kab. Bengkulu Selatan,2022,,Rupiah,Investasi,725228.142364
BENGKULU,Kab. Bengkulu Selatan,2022,,Rupiah,Konsumsi,1354630.076056
BENGKULU,Kab. Bengkulu Selatan,2023,Mar,Rupiah,Modal Kerja,865299.761
BENGKULU,Kab. Bengkulu Selatan,2023,Mar,Rupiah,Investasi,742193.337429
BENGKULU,Kab. Bengkulu Selatan,2023,Mar,Rupiah,Konsumsi,1361440.764246
BENGKULU,Kab. Bengkulu Selatan,2023,Apr,Rupiah,Modal Kerja,861565.535098
BENGKULU,Kab. Bengkulu Selatan,2023,Apr,Rupiah,Investasi,745539.133993
BENGKULU,Kab. Bengkulu Selatan,2023,Apr,Rupiah,Konsumsi,1361327.792618
BENGKULU,Kab. Bengkulu Selatan,2023,May,Rupiah,Modal Kerja,959123.967878
BENGKULU,Kab. Bengkulu Selatan,2023,May,Rupiah,Investasi,790946.82061
BENGKULU,Kab. Bengkulu Selatan,2023,May,Rupiah,Konsumsi,1362032.882791
BENGKULU,Kab. Bengkulu Selatan,2023,Jun,Rupiah,Modal Kerja,992289.784539
BENGKULU,Kab. Bengkulu Selatan,2023,Jun,Rupiah,Investasi,793226.483757
BENGKULU,Kab. Bengkulu Selatan,2023,Jun,Rupiah,Konsumsi,1364985.227111
BENGKULU,Kab. Bengkulu Selatan,2023,Jul,Rupiah,Modal Kerja,978305.245333
BENGKULU,Kab. Bengkulu Selatan,2023,Jul,Rupiah,Investasi,796792.805938
